latitude,longitude,magnitude,time,catalog_id
-43.56335654945691,172.8268758563235,4.6,2016-12-27 00:44:59.333725555,15
-46.94975641961285,165.87816965168312,4.3,2017-01-28 23:29:16.358613376,15
-41.90895658223859,173.86925874597742,5.1,2016-12-03 18:34:19.436182767,15
-42.47182366671954,173.33295382444615,4.3,2017-02-11 04:29:54.146645097,15
-42.164385564187945,173.70947118877217,4.6,2016-11-17 19:30:27.832939028,15
-42.6295216109603,172.75431183468663,4.2,2016-11-14 04:14:16.725859713,15
-41.79625718614024,174.3135991709849,4.4,2016-11-16 14:21:40.672370762,15
-41.72708613553728,174.24969637568054,4.2,2016-11-15 19:46:59.862146246,15
-36.84900490992605,179.17547482185557,4.1,2016-11-23 06:30:19.589691586,15
-42.00816476841887,174.0018035703855,4.3,2016-11-22 11:34:30.544809662,15
-41.5375827138995,174.36437246345363,4.3,2016-11-15 06:50:52.382538873,15
-37.39356472922365,179.25864115165862,4.1,2016-12-02 03:07:23.369706,16
-38.108955321362416,176.2816359544812,4.3,2016-12-04 04:27:46.619099,16
-39.21482763770867,175.10902691871385,4.1,2016-12-28 03:06:05.315252,16
-42.52454652427353,173.3173369556051,4.3,2017-01-14 01:56:33.222531,16
-45.23072850442335,166.75185829246172,4.2,2017-02-10 20:36:56.004095,16
-38.23398792686436,176.05127741072835,4.4,2017-02-04 16:31:30.336694670,16
-43.41456741523362,171.70572255028628,4.6,2016-11-21 06:46:43.651018365,16
-37.172236798009344,179.6762996831628,4.9,2016-12-11 11:48:56.193283237,16
-42.81301945459622,174.2420137010872,4.2,2016-11-14 19:37:00.599193975,16
-42.10253971818806,173.77283354426368,4.4,2016-11-14 05:06:04.028469922,16
-41.75514084476545,174.18416181460947,4.4,2016-11-17 00:47:10.890944529,16
-41.86613152913624,173.94722695149704,4.1,2017-02-09 07:41:21.490081929,16
-41.67055328250532,174.24913992521076,4.2,2016-11-20 05:14:37.553638222,16
-42.01860043187835,174.0570969931371,5.7,2017-01-25 00:01:54.576648250,16
-41.97610076765024,174.09940210499306,4.3,2017-01-15 08:36:04.367072871,16
-37.66800039070529,176.17916460077512,4.7,2016-11-16 02:00:17.934997,17
-37.0317544390748,177.07580829207592,4.1,2016-12-02 22:50:36.339251,17
-41.88679686128886,171.55490228365923,4.1,2016-12-24 06:38:18.004253,17
-37.24436509421087,176.62745308216802,4.1,2016-12-27 15:11:17.705485,17
-40.57382590218559,177.29330861484115,4.2,2016-12-28 00:15:23.723679,17
-39.23839319444325,174.88635711902677,4.3,2017-01-10 14:28:14.771331,17
-37.39570366870933,179.6121296764452,4.1,2017-01-21 00:38:24.678148,17
-37.39679913693652,179.46851139665128,4.1,2017-01-28 03:01:35.411135,17
-45.3368504763216,166.8486174851369,4.1,2016-12-18 03:24:50.926764870,17
-41.32497820904136,174.21238319610654,4.7,2017-01-24 06:26:25.839906131,17
-40.7858154382644,174.62099946066334,4.1,2016-11-25 22:14:01.871123767,17
-42.05381594833354,174.3911568784373,4.3,2016-11-14 05:13:38.031174511,17
-41.69000640836648,174.13846944337115,6.1,2016-11-14 08:50:14.228443042,17
-41.87843449477528,174.17529613287482,4.2,2016-12-04 12:03:05.326104448,17
-41.70752482178295,174.25987869883608,4.4,2016-11-14 15:46:55.744339721,17
-42.69823722664307,172.75579404862302,5.8,2016-11-14 06:05:17.899729749,17
-41.81364154039035,174.04602370059067,4.1,2016-11-14 03:14:04.090849531,17
-41.81665222673635,174.27275533551912,4.1,2016-11-17 03:05:48.454236628,17
-41.95969592330191,174.03228767183458,4.1,2016-12-03 04:02:16.485838209,17
-42.32245754762918,174.1017611554584,4.6,2016-12-20 01:16:57.197271604,17
-41.71944354975,174.12017142831257,4.2,2016-11-14 21:03:38.226292325,17
-41.83256156713406,174.25018088720674,4.1,2016-11-17 04:29:15.549558638,17
-40.3860893735642,175.04662471109526,4.2,2016-12-08 18:12:12.167558,18
-36.49829866645101,177.1842464828912,4.1,2017-01-27 19:11:34.749757,18
-37.95918908531202,179.24070988489692,4.5,2017-02-02 14:47:40.524721,18
-41.74321455278231,174.1741598428226,5.4,2016-11-14 05:28:01.861838690,18
-42.70097637823204,172.73063101717838,4.2,2016-11-30 14:19:30.362190281,18
-41.90481385628799,173.78916750156642,5.1,2016-11-18 10:13:30.179253551,18
-42.66732428078549,172.78867538801873,4.1,2016-12-07 11:38:40.623686710,18
-41.70938896793066,174.23162024663472,4.3,2016-12-04 21:05:54.417387088,18
-41.48569529733637,174.16576616431794,4.8,2016-11-14 00:43:24.590333372,18
-42.36069810296514,173.93612079169762,4.2,2017-01-29 15:08:08.714802690,18
-42.037802828130616,173.699417200802,4.8,2016-11-14 13:30:17.637086507,18
-40.33853828984984,175.20569273815195,4.4,2016-11-14 11:40:05.564468,19
-38.50860053551971,179.2885709242213,4.6,2016-11-27 14:10:45.403342,19
-37.918261831809474,177.44094693824013,4.3,2016-12-14 02:49:00.713889,19
